id,state,district,block,village,business_category,prior_experience,own_capital_inr,village_population,households,target_population,nearby_population,competitors_1km,competitors_5km,competitors_10km,market_within_5km,weekly_market_present,market_distance_km,road_available,electricity_available,basic_infrastructure_available,local_competition_index,local_demand_index,historical_business_outcome,feasibility_label
1,Jharkhand,Dhanbad,Baliapur,Dhangi,Dairy & Livestock,0,85000,4467,1035,2159,6819,9,19,29,1,1,2.6,1,1,0,68.3,73.0,,0
2,Jharkhand,Dhanbad,Baliapur,Dhangi,Poultry & Egg Production,1,95000,4467,1035,2271,6819,1,9,30,1,1,2.6,1,1,0,28.0,70.7,,1
3,Jharkhand,Dhanbad,Baliapur,Dhangi,Fisheries / Aquaculture,0,135000,4467,1035,1415,6819,0,15,22,1,1,2.6,1,1,0,32.3,36.1,,0
4,Jharkhand,Dhanbad,Baliapur,Dhangi,Agri-input & Farm Supply,0,135000,4467,1035,1587,6819,5,11,30,1,1,2.6,1,1,0,43.3,58.0,,1
5,Jharkhand,Dhanbad,Baliapur,Dhangi,Food Processing,1,165000,4467,1035,1586,6819,1,3,16,1,1,2.6,1,1,1,13.3,54.6,,1
6,Jharkhand,Dhanbad,Baliapur,Dhangi,Retail / Kirana,1,90000,4467,1035,3575,6819,9,13,27,1,1,2.6,1,1,0,57.7,89.4,,1
7,Jharkhand,Dhanbad,Baliapur,Dhangi,Tailoring & Garment Services,1,40000,4467,1035,1191,6819,8,23,36,1,1,2.6,1,1,1,74.3,40.5,,0
8,Jharkhand,Dhanbad,Baliapur,Dhangi,Repair & Maintenance,0,90000,4467,1035,1136,6819,3,11,34,1,1,2.6,1,1,1,38.7,43.0,,0
9,Jharkhand,Dhanbad,Baliapur,Dhangi,Digital / CSC / Online Services,0,70000,4467,1035,1102,6819,4,9,15,1,1,2.6,1,1,1,32.0,36.6,,0
10,Jharkhand,Dhanbad,Baliapur,Dhangi,Handicrafts / Artisan Products,0,60000,4467,1035,770,6819,4,10,24,1,1,2.6,1,1,0,36.7,25.2,,0
11,Jharkhand,Dhanbad,Baliapur,Gopinathdih,Dairy & Livestock,1,110000,4418,897,2596,15571,9,21,28,1,0,1.1,1,1,1,71.3,78.7,,1
12,Jharkhand,Dhanbad,Baliapur,Gopinathdih,Poultry & Egg Production,0,90000,4418,897,1893,15571,1,15,35,1,0,1.1,1,1,1,39.7,65.1,,1
13,Jharkhand,Dhanbad,Baliapur,Gopinathdih,Fisheries / Aquaculture,0,135000,4418,897,1506,15571,0,6,12,1,0,1.1,1,1,1,14.0,36.6,,0
