state,district,block,village,business_category,prior_experience,own_capital_inr,competitors_5km,road_available,electricity_available,basic_infrastructure_available,demand_trend,price_volatility,buyer_dependency,supply_chain_reliability,monthly_fixed_cost_inr,monthly_revenue_estimate_inr,risk_label
Jharkhand,Dhanbad,Baliapur,Dhangi,Dairy & Livestock,0,85000,19,1,1,0,0.46,0.315,0.292,0.974,2600,59000,0
Jharkhand,Dhanbad,Baliapur,Dhangi,Poultry & Egg Production,1,95000,9,1,1,0,0.414,0.174,0.3,0.974,2800,61000,0
Jharkhand,Dhanbad,Baliapur,Dhangi,Fisheries / Aquaculture,0,135000,15,1,1,0,-0.278,0.189,0.237,0.974,4000,33000,1
Jharkhand,Dhanbad,Baliapur,Dhangi,Agri-input & Farm Supply,0,135000,11,1,1,0,0.16,0.228,0.251,0.974,4000,41000,0
Jharkhand,Dhanbad,Baliapur,Dhangi,Food Processing,1,165000,3,1,1,1,0.092,0.123,0.251,0.974,5000,40000,0
Jharkhand,Dhanbad,Baliapur,Dhangi,Retail / Kirana,1,90000,13,1,1,0,0.788,0.278,0.375,0.974,2700,100000,0
Jharkhand,Dhanbad,Baliapur,Dhangi,Tailoring & Garment Services,1,40000,23,1,1,1,-0.19,0.336,0.219,0.974,1500,29000,1
Jharkhand,Dhanbad,Baliapur,Dhangi,Repair & Maintenance,0,90000,11,1,1,1,-0.14,0.211,0.214,0.974,2700,28000,0
Jharkhand,Dhanbad,Baliapur,Dhangi,Digital / CSC / Online Services,0,70000,9,1,1,1,-0.268,0.188,0.211,0.974,2100,26000,1
Jharkhand,Dhanbad,Baliapur,Dhangi,Handicrafts / Artisan Products,0,60000,10,1,1,0,-0.496,0.204,0.181,0.974,1800,17000,1
Jharkhand,Dhanbad,Baliapur,Gopinathdih,Dairy & Livestock,1,110000,21,1,1,1,0.574,0.311,0.214,0.889,3300,72000,0
Jharkhand,Dhanbad,Baliapur,Gopinathdih,Poultry & Egg Production,0,90000,15,1,1,1,0.302,0.2,0.187,0.889,2700,50000,0
Jharkhand,Dhanbad,Baliapur,Gopinathdih,Fisheries / Aquaculture,0,135000,6,1,1,1,-0.268,0.11,0.171,0.889,4000,36000,0
Jharkhand,Dhanbad,Baliapur,Gopinathdih,Agri-input & Farm Supply,1,195000,7,1,1,1,0.224,0.137,0.186,0.889,5800,49000,0
